PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, P242
Station name, FrazierAirCN2004
Begin Date, 2004-12-18
End Date, 2023-08-28
Release Date, 2023-08-29
Source file, P242.cwu.igs14.pos
Offset from source file, 89.87 mm North, -186.12 mm East, -10.46 mm Vertical
Reference position, 36.9539319849 North Latitude, -121.4631841431 East Longitude, 14.75973 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-06-19,1.01, -14.99, 11.17, 2.12, 1.66, 7.53, repro,
2005-06-20,0.79, -14.47, 11.36, 2.08, 1.64, 7.46, repro,
2005-06-21,0.28, -14.01, 9.77, 2.07, 1.63, 7.42, repro,
2005-06-22,0.83, -13.35, 7.78, 2.06, 1.62, 7.36, repro,
2005-06-23,-0.49, -12.89, 7.67, 2.12, 1.66, 7.53, repro,
2005-06-24,0.74, -13.68, 6.89, 2.1, 1.66, 7.58, repro,
2005-06-25,-0.22, -13.90, 8.38, 2.1, 1.66, 7.6, repro,
2005-06-26,0.01, -13.19, 6.19, 2.13, 1.67, 7.63, repro,
2005-06-27,0.95, -14.57, 0.32, 2.07, 1.63, 7.42, repro,
2005-06-28,1.73, -13.65, 3.10, 2.06, 1.62, 7.35, repro,
2005-06-29,0.90, -14.73, 6.37, 2.06, 1.62, 7.38, repro,
2005-06-30,0.30, -14.31, 11.32, 2.07, 1.63, 7.45, repro,
2005-07-01,0.55, -13.80, 7.74, 2.08, 1.63, 7.48, repro,
2005-07-02,-0.25, -14.90, 6.12, 2.06, 1.63, 7.42, repro,
2005-07-03,-0.25, -15.41, 9.60, 2.06, 1.63, 7.39, repro,
2005-07-04,1.09, -16.39, 6.68, 2.05, 1.63, 7.36, repro,
2005-07-05,0.89, -14.89, 7.05, 2.06, 1.63, 7.39, repro,
2005-07-06,0.74, -14.72, 9.12, 2.07, 1.64, 7.49, repro,
2005-07-07,0.17, -15.85, 11.49, 2.13, 1.66, 7.6, repro,
2005-07-08,-0.20, -15.31, 9.30, 2.06, 1.63, 7.39, repro,
2005-07-09,0.48, -14.10, 7.19, 2.06, 1.63, 7.38, repro,
2005-07-10,1.41, -14.50, 4.82, 2.18, 1.72, 7.83, repro,
2005-07-11,0.29, -14.77, 8.98, 2.12, 1.66, 7.53, repro,
2005-07-12,2.22, -16.82, 4.75, 2.07, 1.64, 7.47, repro,
